Epoch 01 | Train Loss: 0.8594 | Valid Loss: 1.0214
Epoch 02 | Train Loss: 1.3122 | Valid Loss: 1.8445
Epoch 03 | Train Loss: 2.3667 | Valid Loss: 3.0598
Epoch 04 | Train Loss: 3.3118 | Valid Loss: 3.8713
Epoch 05 | Train Loss: 3.9563 | Valid Loss: 4.4504
Epoch 06 | Train Loss: 4.4305 | Valid Loss: 4.8882
Epoch 07 | Train Loss: 4.7987 | Valid Loss: 5.2355
Epoch 08 | Train Loss: 5.0967 | Valid Loss: 5.5218
Epoch 09 | Train Loss: 5.3455 | Valid Loss: 5.7641
Epoch 10 | Train Loss: 5.5588 | Valid Loss: 5.9732
Epoch 11 | Train Loss: 5.7443 | Valid Loss: 6.1568
Epoch 12 | Train Loss: 5.9086 | Valid Loss: 6.3205
Epoch 13 | Train Loss: 6.0555 | Valid Loss: 6.4676
Epoch 14 | Train Loss: 6.1885 | Valid Loss: 6.6014
Epoch 15 | Train Loss: 6.3096 | Valid Loss: 6.7236
Epoch 16 | Train Loss: 6.4204 | Valid Loss: 6.8361
Epoch 17 | Train Loss: 6.5234 | Valid Loss: 6.9403
Epoch 18 | Train Loss: 6.6183 | Valid Loss: 7.0372
Epoch 19 | Train Loss: 6.7072 | Valid Loss: 7.1276
Epoch 20 | Train Loss: 6.7902 | Valid Loss: 7.2124
Epoch 21 | Train Loss: 6.8681 | Valid Loss: 7.2922
Epoch 22 | Train Loss: 6.9416 | Valid Loss: 7.3674
Epoch 23 | Train Loss: 7.0109 | Valid Loss: 7.4386
Epoch 24 | Train Loss: 7.0770 | Valid Loss: 7.5061
Epoch 25 | Train Loss: 7.1390 | Valid Loss: 7.5701
Epoch 26 | Train Loss: 7.1985 | Valid Loss: 7.6311
Epoch 27 | Train Loss: 7.2548 | Valid Loss: 7.6892
Epoch 28 | Train Loss: 7.3086 | Valid Loss: 7.7447
Epoch 29 | Train Loss: 7.3602 | Valid Loss: 7.7978
Epoch 30 | Train Loss: 7.4092 | Valid Loss: 7.8485
Epoch 31 | Train Loss: 7.4565 | Valid Loss: 7.8972
Epoch 32 | Train Loss: 7.5017 | Valid Loss: 7.9438
Epoch 33 | Train Loss: 7.5448 | Valid Loss: 7.9887
Epoch 34 | Train Loss: 7.5868 | Valid Loss: 8.0318
Epoch 35 | Train Loss: 7.6270 | Valid Loss: 8.0733
Epoch 36 | Train Loss: 7.6655 | Valid Loss: 8.1133
Epoch 37 | Train Loss: 7.7027 | Valid Loss: 8.1518
Epoch 38 | Train Loss: 7.7387 | Valid Loss: 8.1890
Epoch 39 | Train Loss: 7.7733 | Valid Loss: 8.2249
Epoch 40 | Train Loss: 7.8065 | Valid Loss: 8.2596
Epoch 41 | Train Loss: 7.8389 | Valid Loss: 8.2931
Epoch 42 | Train Loss: 7.8700 | Valid Loss: 8.3255
Epoch 43 | Train Loss: 7.9002 | Valid Loss: 8.3568
Epoch 44 | Train Loss: 7.9297 | Valid Loss: 8.3871
Epoch 45 | Train Loss: 7.9580 | Valid Loss: 8.4165
Epoch 46 | Train Loss: 7.9852 | Valid Loss: 8.4449
Epoch 47 | Train Loss: 8.0119 | Valid Loss: 8.4725
Epoch 48 | Train Loss: 8.0380 | Valid Loss: 8.4993
Epoch 49 | Train Loss: 8.0630 | Valid Loss: 8.5253
Epoch 50 | Train Loss: 8.0872 | Valid Loss: 8.5505
Test Loss: 8.5260
PS C:\Users\sakur> 数据很不错吧？
